Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,744.000000,767.000000,744.000000,760.099976,755.766113,122085
2014-01-02,762.799988,763.500000,723.000000,728.349976,724.197144,55571
2014-01-03,725.000000,741.200012,715.000000,729.299988,725.141663,24652
2014-01-06,730.000000,734.900024,718.299988,731.700012,727.528015,18541
2014-01-07,739.799988,741.000000,724.599976,731.049988,726.881653,20085
2014-01-08,725.299988,744.000000,725.299988,738.299988,734.090271,30160
2014-01-09,736.049988,739.400024,731.000000,732.200012,728.025146,14252
2014-01-10,730.450012,736.900024,728.750000,731.549988,727.378845,18342
2014-01-13,725.349976,737.200012,716.000000,719.549988,715.447327,17441
2014-01-14,712.049988,733.500000,711.000000,721.549988,717.435852,18854
2014-01-15,727.950012,734.799988,709.700012,723.799988,719.673096,75069
2014-01-16,723.799988,727.900024,711.000000,714.000000,709.928833,23309
2014-01-17,707.099976,717.000000,686.000000,692.000000,688.054382,24528
2014-01-20,703.000000,703.000000,678.000000,684.250000,680.348511,18106
2014-01-21,678.049988,693.000000,677.150024,681.299988,677.415344,20912
2014-01-22,682.000000,709.000000,661.049988,703.099976,699.091003,39495
2014-01-23,701.049988,703.000000,683.950012,686.750000,682.834351,12134
2014-01-24,681.000000,694.000000,681.000000,686.549988,682.635437,14449
2014-01-27,680.000000,687.549988,666.549988,677.200012,673.338745,21181
2014-01-28,671.099976,688.000000,671.099976,679.000000,675.128418,10929
2014-01-29,682.000000,688.599976,672.750000,681.250000,677.365784,14622
2014-01-30,674.000000,684.700012,674.000000,677.900024,674.034729,13537
2014-01-31,671.049988,686.000000,671.049988,680.150024,676.272034,6933
2014-02-03,671.150024,681.000000,662.000000,664.500000,660.711182,21339
2014-02-04,661.200012,694.950012,658.349976,687.500000,683.579956,19391
2014-02-05,682.000000,693.000000,678.849976,684.349976,680.447876,40928
2014-02-06,694.700012,698.000000,677.599976,681.849976,677.962219,18233
2014-02-07,678.000000,690.000000,678.000000,686.700012,682.784607,13446
2014-02-10,688.000000,693.000000,676.099976,680.700012,676.818848,6369
2014-02-11,684.000000,689.750000,680.000000,681.549988,677.664001,11120
2014-02-12,683.099976,708.799988,680.000000,701.099976,697.102417,39757
2014-02-13,706.299988,706.299988,680.000000,682.700012,678.807434,29136
2014-02-14,685.000000,691.000000,678.000000,682.299988,678.409729,17112
2014-02-17,678.049988,698.000000,678.049988,691.250000,687.308655,20169
2014-02-18,695.000000,707.000000,679.500000,703.349976,699.339661,34942
2014-02-19,713.799988,715.000000,701.099976,706.450012,702.421936,29513
2014-02-20,706.500000,706.500000,695.049988,702.400024,698.395081,16602
2014-02-21,704.950012,708.900024,693.000000,701.400024,697.400818,40168
2014-02-24,701.950012,719.950012,700.400024,711.099976,707.045410,24640
2014-02-25,718.950012,731.000000,708.099976,717.700012,713.607910,47804
2014-02-26,726.650024,726.650024,710.250000,721.099976,716.988342,18620
2014-02-28,712.000000,724.849976,712.000000,722.099976,717.982727,16993
2014-03-03,711.000000,725.000000,711.000000,715.299988,711.221497,17289
2014-03-04,714.000000,732.950012,714.000000,728.549988,724.395935,29703
2014-03-05,728.549988,734.400024,712.000000,717.450012,713.359314,66073
2014-03-06,721.000000,730.000000,715.500000,724.849976,720.717041,42173
2014-03-07,727.000000,732.000000,716.000000,720.500000,716.391907,20884
2014-03-10,718.450012,730.000000,718.450012,725.650024,721.512512,18035
2014-03-11,725.000000,735.000000,701.000000,710.900024,706.846680,28419
2014-03-12,705.000000,718.450012,702.049988,711.049988,706.995789,12605
2014-03-13,705.450012,724.400024,705.450012,714.000000,709.928833,11603
2014-03-14,713.799988,713.799988,694.250000,698.799988,694.815552,49152
2014-03-18,698.799988,711.450012,698.799988,709.599976,705.554016,15216
2014-03-19,709.000000,709.000000,702.799988,707.799988,703.764282,14358
2014-03-20,708.000000,714.049988,697.000000,709.650024,705.603699,72311
2014-03-21,703.200012,719.000000,703.200012,715.049988,710.972900,25282
2014-03-22,null,null,null,null,null,null
2014-03-24,714.000000,724.950012,710.099976,715.200012,711.122192,24367
2014-03-25,710.299988,721.650024,710.299988,715.250000,711.171814,19364
2014-03-26,711.549988,730.849976,711.549988,727.549988,723.401611,28327
2014-03-27,716.599976,745.000000,716.599976,742.549988,738.316040,52279
2014-03-28,743.950012,768.950012,742.500000,766.299988,761.930603,74465
2014-03-31,771.000000,795.000000,765.099976,788.049988,783.556702,56181
2014-04-01,794.450012,799.900024,776.549988,781.500000,777.044006,50128
2014-04-02,800.000000,809.700012,771.599976,788.400024,783.904724,57559
2014-04-03,768.000000,786.799988,749.950012,780.700012,776.248596,76082
2014-04-04,783.450012,791.000000,769.000000,782.650024,778.187500,19869
2014-04-07,783.000000,793.000000,758.599976,770.500000,766.106812,11015
2014-04-09,770.000000,794.000000,770.000000,785.349976,780.872070,26187
2014-04-10,789.950012,790.000000,775.000000,783.400024,778.933228,35134
2014-04-11,778.000000,800.000000,771.700012,780.000000,775.552612,19002
2014-04-15,777.000000,794.000000,764.000000,770.650024,766.255981,17433
2014-04-16,765.000000,782.299988,765.000000,779.900024,775.453125,36976
2014-04-17,785.000000,787.049988,780.000000,783.650024,779.181824,19526
2014-04-21,780.000000,796.799988,777.000000,793.049988,788.528137,29623
2014-04-22,797.500000,799.750000,781.000000,797.750000,793.201355,18218
2014-04-23,791.000000,805.000000,780.599976,799.700012,795.140320,16440
2014-04-24,799.700012,799.700012,799.700012,799.700012,795.140320,0
2014-04-25,792.000000,819.000000,791.700012,816.200012,811.546265,50285
2014-04-28,813.000000,836.700012,813.000000,831.049988,826.311523,70977
2014-04-29,825.049988,837.950012,823.099976,829.599976,824.869690,31219
2014-04-30,827.250000,837.349976,819.950012,832.150024,827.405273,27065
2014-05-02,828.599976,831.950012,810.000000,815.200012,810.551941,16987
2014-05-05,809.000000,815.000000,800.250000,811.200012,806.574829,16530
2014-05-06,805.000000,828.000000,805.000000,823.799988,819.102844,27678
2014-05-07,818.150024,826.000000,807.000000,820.849976,816.169678,168660
2014-05-08,820.049988,836.000000,820.049988,833.000000,828.250366,459137
2014-05-09,830.000000,845.000000,810.200012,838.049988,833.271545,30681
2014-05-12,830.049988,848.750000,790.500000,839.450012,834.663696,326336
2014-05-13,832.500000,857.599976,820.049988,848.049988,843.214661,45827
2014-05-14,848.000000,851.599976,834.950012,839.849976,835.061340,203005
2014-05-15,829.849976,829.849976,811.000000,818.900024,814.230835,161156
2014-05-16,810.000000,825.000000,788.849976,821.650024,816.965088,165901
2014-05-19,829.000000,880.000000,805.000000,873.799988,868.817749,53310
2014-05-20,884.700012,888.549988,860.000000,874.900024,869.911499,26153
2014-05-21,861.799988,909.900024,861.799988,880.500000,875.479614,59093
2014-05-22,885.250000,895.000000,876.150024,887.950012,882.887085,382189
2014-05-23,902.000000,902.000000,878.200012,889.950012,884.875671,76993
2014-05-26,865.150024,897.950012,865.150024,891.099976,886.019165,47137
2014-05-27,875.250000,938.000000,875.250000,907.099976,901.927917,73216
2014-05-28,910.000000,925.000000,885.000000,903.750000,898.596985,48003
2014-05-29,894.700012,904.500000,875.000000,885.900024,880.848755,19951
2014-05-30,880.000000,883.000000,847.700012,852.000000,847.142151,23831
2014-06-02,843.500000,895.000000,837.049988,879.000000,873.988098,95008
2014-06-03,884.000000,888.900024,861.000000,878.549988,873.540710,123670
2014-06-04,881.000000,949.000000,872.250000,916.849976,911.622437,252355
2014-06-05,927.700012,950.000000,919.200012,943.500000,938.120422,151751
2014-06-06,936.000000,960.000000,932.200012,944.799988,939.412903,73691
2014-06-09,945.000000,954.950012,911.200012,922.000000,916.742859,33792
2014-06-10,922.000000,945.000000,906.250000,931.750000,926.437317,28095
2014-06-11,931.000000,939.950012,914.000000,925.349976,920.073853,22294
2014-06-12,898.000000,939.000000,881.200012,925.549988,920.272705,54909
2014-06-13,913.049988,923.900024,911.150024,915.299988,910.081177,90837
2014-06-16,913.000000,927.000000,905.000000,917.799988,912.566833,54371
2014-06-17,919.000000,952.849976,910.599976,916.250000,911.025818,36373
2014-06-18,909.000000,937.799988,909.000000,928.799988,923.504150,30125
2014-06-19,920.000000,951.000000,914.000000,942.150024,936.778137,73008
2014-06-20,935.000000,944.000000,927.000000,929.950012,924.647644,37025
2014-06-23,925.049988,934.049988,921.099976,929.849976,924.548096,17918
2014-06-24,925.250000,940.000000,925.250000,929.950012,924.647644,20268
2014-06-25,929.000000,939.750000,925.150024,931.150024,925.840759,21795
2014-06-26,924.000000,938.099976,900.099976,904.450012,899.293091,32439
2014-06-27,905.000000,929.000000,905.000000,925.750000,920.471558,21792
2014-06-30,921.549988,944.549988,921.549988,934.750000,929.420227,42213
2014-07-01,934.750000,973.700012,932.099976,952.599976,947.168457,88246
2014-07-02,952.299988,975.000000,950.250000,958.700012,953.233704,59284
2014-07-03,953.000000,962.849976,931.000000,950.599976,946.908325,69677
2014-07-04,933.000000,959.900024,933.000000,947.400024,943.720825,17722
2014-07-07,945.950012,969.000000,932.400024,958.000000,954.279602,23961
2014-07-08,975.000000,975.000000,936.950012,945.299988,941.628967,28704
2014-07-09,935.000000,954.650024,917.700012,938.400024,934.755798,24645
2014-07-10,929.000000,965.000000,929.000000,953.500000,949.797119,47261
2014-07-11,946.549988,957.500000,931.400024,936.799988,933.161865,18087
2014-07-14,939.200012,950.900024,924.000000,928.000000,924.396057,18915
2014-07-15,930.049988,942.000000,920.099976,925.400024,921.806274,17327
2014-07-16,925.250000,988.000000,925.250000,947.599976,943.920044,157682
2014-07-17,950.000000,975.000000,940.049988,942.950012,939.288025,98788
2014-07-18,946.450012,974.299988,945.000000,964.349976,960.604980,98277
2014-07-21,965.000000,974.950012,946.599976,950.650024,946.958130,34768
2014-07-22,947.150024,960.000000,935.000000,938.849976,935.203857,23582
2014-07-23,935.000000,949.000000,923.000000,929.849976,926.238831,186603
2014-07-24,930.000000,961.099976,912.000000,930.200012,926.587585,120590
2014-07-25,927.049988,943.000000,915.049988,935.400024,931.767456,40363
2014-07-28,933.000000,942.000000,921.400024,935.000000,931.369019,41011
2014-07-30,927.049988,944.500000,923.000000,940.500000,936.847534,51416
2014-07-31,932.000000,953.049988,932.000000,944.250000,940.583008,31896
2014-08-01,935.000000,963.900024,935.000000,950.349976,946.659363,39278
2014-08-04,945.000000,958.900024,940.000000,950.700012,947.008057,13756
2014-08-05,948.000000,965.000000,945.049988,957.900024,954.180054,28100
2014-08-06,950.200012,963.950012,945.049988,949.599976,945.912231,25747
2014-08-07,941.000000,953.000000,937.000000,941.650024,937.993164,37557
2014-08-08,932.000000,934.500000,912.650024,928.650024,925.043701,123825
2014-08-11,931.000000,948.950012,922.000000,928.950012,925.342468,74662
2014-08-12,931.049988,937.750000,921.200012,930.250000,926.637390,21948
2014-08-13,926.000000,934.900024,916.250000,922.599976,919.017029,32088
2014-08-14,923.250000,948.000000,919.950012,940.299988,936.648315,157556
2014-08-18,931.299988,942.500000,930.150024,933.000000,929.376709,33145
2014-08-19,930.250000,936.200012,921.049988,929.900024,926.288818,26712
2014-08-20,921.500000,935.000000,921.500000,929.750000,926.139343,23236
2014-08-21,930.000000,963.000000,930.000000,942.400024,938.740173,71589
2014-08-22,937.450012,969.000000,937.450012,965.450012,961.700745,66635
2014-08-25,958.250000,975.000000,958.250000,972.750000,968.972351,50318
2014-08-26,966.049988,1031.900024,966.049988,1018.700012,1014.743896,122324
2014-08-27,1069.300049,1075.800049,1003.000000,1034.449951,1030.432739,162948
2014-08-28,1033.000000,1061.000000,1033.000000,1053.300049,1049.209473,46525
2014-09-01,1050.050049,1074.949951,1050.000000,1067.500000,1063.354370,33524
2014-09-02,1073.000000,1115.550049,1069.650024,1101.949951,1097.670532,608134
2014-09-03,1111.000000,1139.699951,1090.599976,1098.349976,1094.084473,39820
2014-09-04,1090.000000,1114.000000,1090.000000,1098.699951,1094.433105,31132
2014-09-05,1095.000000,1124.000000,1095.000000,1098.500000,1094.234253,29293
2014-09-08,1100.000000,1115.000000,1096.050049,1102.000000,1097.720337,28328
2014-09-09,1101.250000,1109.750000,1081.500000,1098.099976,1093.835571,13307
2014-09-10,1098.150024,1099.000000,1070.050049,1075.849976,1071.671997,17973
2014-09-11,1070.000000,1111.900024,1070.000000,1092.250000,1088.008179,43512
2014-09-12,1086.000000,1100.000000,1070.000000,1079.550049,1075.357666,14248
2014-09-15,1070.250000,1100.000000,1066.599976,1074.849976,1070.675781,19602
2014-09-16,1068.250000,1087.949951,1021.099976,1028.199951,1024.206787,21005
2014-09-17,1025.250000,1072.800049,1025.250000,1068.750000,1064.599487,34159
2014-09-18,1066.349976,1084.000000,1060.000000,1068.949951,1064.798584,22601
2014-09-19,1068.949951,1092.449951,1054.000000,1085.650024,1081.433838,40235
2014-09-22,1077.250000,1096.000000,1052.250000,1059.199951,1055.086426,52093
2014-09-23,1056.000000,1084.000000,1056.000000,1062.150024,1058.025269,41238
2014-09-24,1059.050049,1092.949951,1040.599976,1043.750000,1039.696655,15070
2014-09-25,1044.000000,1061.699951,1043.000000,1052.650024,1048.562012,37130
2014-09-26,1050.000000,1065.300049,1032.500000,1058.000000,1053.891479,29758
2014-09-29,1048.150024,1095.949951,1048.150024,1088.949951,1084.721069,16012
2014-09-30,1080.250000,1164.849976,1080.250000,1129.650024,1125.263184,180721
2014-10-01,1124.000000,1137.699951,1120.000000,1125.949951,1121.577271,54081
2014-10-07,1120.050049,1130.000000,1102.250000,1114.949951,1110.619995,11587
2014-10-08,1112.000000,1131.900024,1104.900024,1115.250000,1110.919067,31647
2014-10-09,1116.000000,1129.000000,1106.099976,1112.599976,1108.279175,17471
2014-10-10,1105.599976,1119.949951,1082.099976,1093.849976,1089.602173,18278
2014-10-13,1083.400024,1118.000000,1075.300049,1110.449951,1106.137695,11458
2014-10-14,1113.300049,1134.000000,1057.000000,1105.099976,1100.808350,119623
2014-10-15,1105.099976,1105.099976,1105.099976,1105.099976,1100.808350,0
2014-10-16,1058.500000,1084.000000,1001.099976,1020.599976,1016.636536,43672
2014-10-17,1021.000000,1039.750000,1002.250000,1010.500000,1006.575806,66616
2014-10-20,1019.000000,1049.000000,1010.000000,1015.599976,1011.655945,65095
2014-10-21,1020.000000,1030.000000,1005.000000,1016.099976,1012.153992,25903
2014-10-22,1026.000000,1026.000000,1007.000000,1011.250000,1007.322754,14826
2014-10-27,1049.000000,1075.000000,975.000000,1067.599976,1063.453979,32273
2014-10-28,1064.000000,1073.349976,1047.699951,1054.849976,1050.753296,17067
2014-10-29,1051.000000,1072.000000,1047.550049,1069.449951,1065.296753,15911
2014-10-30,1066.000000,1079.000000,1053.099976,1073.449951,1069.281006,43144
2014-10-31,1077.000000,1085.000000,1058.550049,1068.349976,1064.201050,64349
2014-11-03,1068.349976,1072.000000,1045.099976,1051.250000,1047.167725,13536
2014-11-05,1055.000000,1070.000000,1032.000000,1041.650024,1037.604980,96089
2014-11-07,1075.300049,1075.300049,1021.000000,1039.650024,1035.612671,252873
2014-11-10,1050.099976,1074.000000,1024.099976,1040.000000,1035.961182,287014
2014-11-11,1044.000000,1073.000000,1035.050049,1060.400024,1056.281860,91469
2014-11-12,1065.000000,1065.000000,1046.000000,1053.150024,1049.060059,193294
2014-11-13,1055.000000,1058.000000,1025.000000,1032.699951,1028.689453,118410
2014-11-14,1032.000000,1048.150024,1030.000000,1033.550049,1029.536377,18687
2014-11-17,1039.000000,1070.000000,1025.000000,1049.250000,1045.175293,111096
2014-11-18,1060.000000,1065.000000,1035.150024,1042.050049,1038.003296,738125
