Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,294.700012,295.000000,290.549988,292.200012,156.816376,1265974
2014-01-02,291.399994,292.000000,281.799988,283.149994,151.959442,1485831
2014-01-03,282.000000,284.450012,276.000000,277.600006,148.980927,2570514
2014-01-06,279.100006,280.149994,274.000000,276.299988,148.283234,5415257
2014-01-07,277.899994,279.000000,274.000000,275.350006,147.773422,3143007
2014-01-08,279.000000,291.700012,277.000000,288.799988,154.991699,8932578
2014-01-09,292.000000,297.000000,289.500000,295.649994,158.667908,4352671
2014-01-10,296.750000,296.750000,286.399994,288.950012,155.072174,2878673
2014-01-13,288.600006,292.799988,288.600006,290.250000,155.769852,2773085
2014-01-14,294.000000,295.799988,286.399994,288.899994,155.045349,5805721
2014-01-15,301.000000,307.850006,293.549988,295.200012,158.426407,18564061
2014-01-16,297.250000,303.850006,292.549988,302.649994,162.424637,15021903
2014-01-17,275.000000,280.250000,271.100006,272.000000,161.445267,6900162
2014-01-20,272.350006,274.600006,268.000000,269.450012,159.931732,4551231
2014-01-21,269.950012,270.000000,262.350006,263.000000,156.103333,3477115
2014-01-22,262.899994,265.399994,260.700012,261.799988,155.391083,2853129
2014-01-23,260.500000,262.700012,258.500000,259.100006,153.788498,2805631
2014-01-24,258.000000,261.350006,257.049988,257.899994,153.076218,2902163
2014-01-27,256.000000,256.399994,248.000000,249.000000,147.793655,3926853
2014-01-28,248.000000,253.649994,247.600006,249.149994,147.882690,1869607
2014-01-29,249.350006,254.000000,249.350006,250.699997,148.802673,1727528
2014-01-30,248.000000,251.500000,245.149994,246.149994,146.102020,5510037
2014-01-31,246.050003,248.000000,244.399994,247.449997,146.873642,2028867
2014-02-03,246.000000,249.050003,244.399994,245.750000,145.864624,3314634
2014-02-04,243.000000,251.050003,243.000000,249.300003,147.971725,5352922
2014-02-05,247.800003,255.800003,247.800003,255.199997,151.473648,3346367
2014-02-06,253.500000,269.200012,253.500000,267.299988,158.655579,5588845
