Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,167.600006,170.699997,166.649994,170.100006,155.363831,4944090
2014-01-02,170.350006,174.649994,165.300003,166.449997,152.030045,9278583
2014-01-03,165.000000,169.750000,163.350006,168.899994,154.267776,7211775
2014-01-06,169.000000,169.750000,165.100006,166.800003,152.349701,4924864
2014-01-07,166.199997,169.000000,162.199997,163.949997,149.746628,6468312
2014-01-08,163.500000,166.300003,161.350006,162.050003,148.011200,5991976
2014-01-09,161.300003,163.199997,157.649994,158.800003,145.042770,4675079
2014-01-10,159.300003,161.899994,155.949997,156.500000,142.942017,4754295
2014-01-13,157.800003,162.000000,156.199997,161.050003,147.097839,5366499
2014-01-14,159.850006,161.100006,156.300003,157.149994,143.535706,4832212
2014-01-15,157.800003,160.399994,157.250000,159.850006,146.001801,3885416
2014-01-16,160.600006,162.899994,158.250000,162.100006,148.056885,5003916
2014-01-17,162.350006,164.199997,154.350006,155.350006,141.891663,7238988
2014-01-20,155.000000,156.800003,152.800003,155.800003,142.302673,5304650
2014-01-21,156.500000,157.899994,155.100006,157.250000,143.627060,4123487
2014-01-22,158.000000,159.600006,155.850006,158.949997,145.179764,4471196
2014-01-23,158.649994,159.899994,156.850006,159.300003,145.499451,3645971
2014-01-24,158.000000,158.000000,152.350006,153.050003,139.790909,5405551
2014-01-27,149.449997,150.000000,138.300003,139.649994,127.551781,6500869
2014-01-28,140.000000,144.600006,138.600006,141.250000,129.013153,8473262
2014-01-29,143.750000,144.350006,140.100006,141.100006,128.876144,4462907
2014-01-30,137.500000,139.350006,133.750000,134.649994,122.984940,7466170
2014-01-31,137.000000,138.399994,135.399994,137.500000,125.588043,5462190
2014-02-03,136.199997,137.800003,133.199997,134.149994,122.528252,6524018
2014-02-04,131.600006,135.350006,130.250000,134.100006,122.482590,7479935
2014-02-05,133.000000,139.899994,132.800003,138.100006,126.136063,7322678
2014-02-06,137.350006,139.399994,134.050003,135.300003,123.578651,7434184
2014-02-07,136.699997,139.250000,136.699997,137.949997,125.999069,4033070
2014-02-10,143.300003,145.899994,141.449997,142.000000,129.698181,7470522
2014-02-11,140.800003,142.649994,139.250000,140.449997,128.282471,3590777
2014-02-12,141.100006,143.199997,138.699997,140.149994,128.008469,3900737
2014-02-13,140.100006,144.750000,140.100006,143.000000,130.611557,8274700
2014-02-14,143.000000,146.000000,141.399994,145.000000,132.438293,8633646
2014-02-17,145.500000,147.899994,141.800003,142.550003,130.200546,5503531
2014-02-18,142.699997,143.699997,140.149994,142.449997,130.109222,5914011
2014-02-19,142.000000,143.699997,141.149994,143.149994,130.748596,3553409
2014-02-20,142.250000,146.949997,141.649994,143.649994,131.205246,5777776
2014-02-21,144.399994,144.750000,140.649994,142.399994,130.063553,4757965
2014-02-24,142.500000,143.899994,141.050003,142.800003,130.428894,2762669
2014-02-25,143.550003,144.500000,140.750000,141.550003,129.287186,2991045
2014-02-26,141.649994,142.100006,138.250000,140.149994,128.008469,4639976
2014-02-28,141.500000,142.000000,138.550003,141.149994,128.921844,4441772
2014-03-03,140.800003,141.750000,138.300003,139.149994,127.095093,3866220
2014-03-04,137.300003,140.800003,136.300003,139.850006,127.734467,5128310
2014-03-05,142.000000,145.750000,140.199997,144.750000,132.209961,5667795
2014-03-06,145.000000,153.350006,145.000000,152.149994,138.968872,8721037
2014-03-07,153.399994,167.949997,153.199997,166.899994,152.441040,14164958
2014-03-10,165.000000,173.850006,164.600006,171.600006,156.733871,9418139
2014-03-11,171.949997,186.699997,167.649994,178.350006,162.899109,20555512
2014-03-12,179.649994,182.699997,176.649994,179.149994,163.629791,12520561
2014-03-13,180.000000,181.649994,166.699997,168.350006,153.765442,12573778
2014-03-14,166.000000,175.850006,162.449997,174.949997,159.793655,13516204
2014-03-18,176.500000,179.000000,170.149994,173.649994,158.606277,10330068
2014-03-19,174.800003,177.949997,171.199997,173.949997,158.880280,7884070
2014-03-20,172.899994,173.949997,166.199997,167.100006,152.623734,7247779
2014-03-21,167.800003,172.500000,167.800003,171.100006,156.277206,8082959
2014-03-22,null,null,null,null,null,null
2014-03-24,171.000000,174.850006,170.000000,171.600006,156.733871,5789070
2014-03-25,171.000000,178.500000,170.899994,177.600006,162.214096,7715272
2014-03-26,179.199997,181.449997,173.600006,175.199997,160.022018,8251239
2014-03-27,175.750000,179.500000,172.149994,174.899994,159.747986,14345150
2014-03-28,176.899994,177.600006,174.149994,175.850006,160.615707,8201155
2014-03-31,177.000000,179.000000,174.050003,176.449997,161.163696,12220242
2014-04-01,177.750000,177.750000,171.100006,175.000000,159.839355,7495537
2014-04-02,176.000000,178.850006,173.300003,176.600006,161.300735,12739524
2014-04-03,177.500000,177.500000,169.199997,171.750000,156.870895,9076725
2014-04-04,170.399994,177.000000,169.800003,176.050003,160.798355,15723521
2014-04-07,176.500000,178.250000,168.050003,171.050003,156.231506,10798384
2014-04-09,172.750000,177.000000,172.449997,176.600006,161.300735,9943496
2014-04-10,178.000000,185.000000,175.899994,178.600006,163.127441,27802097
2014-04-11,175.949997,180.500000,173.550003,176.300003,161.026703,14172904
2014-04-15,177.000000,177.699997,164.600006,166.100006,151.710358,10752346
2014-04-16,166.000000,167.750000,155.850006,158.050003,144.357727,12114652
2014-04-17,159.000000,161.399994,156.050003,159.649994,145.819122,13879067
2014-04-21,160.500000,160.500000,156.500000,157.800003,144.129410,8263084
2014-04-22,158.500000,160.899994,156.600006,157.050003,143.444397,10438729
2014-04-23,153.149994,156.550003,151.350006,152.350006,139.151550,16197519
2014-04-24,152.350006,152.350006,152.350006,152.350006,139.151550,0
2014-04-25,153.199997,158.000000,152.550003,153.600006,140.293259,11959585
2014-04-28,152.100006,154.899994,150.850006,153.899994,140.567261,9132253
2014-04-29,152.699997,156.850006,152.699997,153.750000,140.430252,9396244
2014-04-30,153.000000,154.350006,139.000000,140.149994,128.008469,24535978
2014-05-02,141.500000,142.899994,138.100006,139.800003,127.688766,16101101
2014-05-05,139.800003,141.600006,137.600006,139.050003,127.003769,12555583
2014-05-06,139.050003,142.850006,139.050003,140.350006,128.191116,8651800
2014-05-07,140.399994,141.649994,139.000000,140.250000,128.099808,8856565
2014-05-08,140.250000,141.350006,138.199997,139.649994,127.551781,10142516
2014-05-09,140.000000,145.899994,139.949997,144.750000,132.209961,10508094
2014-05-12,144.600006,151.300003,143.149994,146.199997,133.534348,11354398
2014-05-13,148.800003,156.000000,148.500000,152.350006,139.151550,13236382
2014-05-14,153.800003,163.000000,150.000000,160.600006,146.686844,16457211
2014-05-15,162.000000,169.000000,158.250000,159.949997,146.093124,11637280
2014-05-16,166.800003,179.699997,164.050003,169.699997,154.998459,23893422
2014-05-19,174.000000,183.750000,172.500000,182.300003,166.506943,21952905
2014-05-20,183.000000,190.699997,178.000000,184.399994,168.424973,16677976
2014-05-21,184.899994,195.000000,180.600006,192.800003,176.097260,16249397
2014-05-22,195.000000,218.500000,194.449997,211.000000,192.720535,40429030
2014-05-23,213.649994,222.350006,211.500000,217.149994,198.337769,21664306
2014-05-26,219.899994,224.800003,196.199997,204.300003,186.600998,17180731
2014-05-27,205.000000,207.399994,195.100006,204.449997,186.737991,12407505
2014-05-28,206.000000,209.000000,198.449997,205.649994,187.834030,12381901
2014-05-29,206.300003,209.300003,202.050003,203.750000,186.098648,8622894
2014-05-30,201.000000,212.000000,195.500000,210.100006,191.898514,20070581
2014-06-02,211.199997,212.800003,206.600006,209.350006,191.213531,15178797
2014-06-03,209.850006,221.600006,209.000000,219.500000,200.484192,18963755
2014-06-04,222.500000,223.300003,216.649994,219.149994,200.164505,13402604
