Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,389.000000,399.750000,387.250000,389.799988,386.922577,247321
2018-01-02,395.000000,397.750000,385.000000,395.149994,392.233093,148413
2018-01-03,396.000000,398.000000,384.000000,385.299988,382.455811,174042
2018-01-04,388.000000,402.000000,387.799988,399.649994,396.699890,331873
2018-01-05,400.899994,411.500000,398.200012,406.950012,403.946014,247901
2018-01-08,408.100006,428.500000,408.100006,421.700012,418.587128,463990
2018-01-09,425.750000,447.950012,423.000000,435.899994,432.682281,559805
2018-01-10,436.500000,442.299988,427.100006,430.000000,426.825836,267747
2018-01-11,430.000000,448.899994,427.950012,445.100006,441.814392,354002
2018-01-12,448.149994,459.100006,445.250000,455.200012,451.839844,388789
2018-01-15,458.450012,487.500000,458.399994,474.850006,471.344788,631794
2018-01-16,480.000000,493.750000,471.850006,482.549988,478.987915,867725
2018-01-17,486.000000,489.899994,470.000000,478.049988,474.521149,450150
2018-01-18,485.000000,489.899994,478.649994,483.950012,480.377625,238284
2018-01-19,488.000000,490.000000,478.000000,482.950012,479.385010,235620
2018-01-22,488.000000,488.899994,468.049988,470.750000,467.275024,283896
2018-01-23,475.000000,477.899994,454.250000,458.549988,455.165100,266765
2018-01-24,457.000000,460.450012,448.250000,456.299988,452.931702,360852
2018-01-25,452.000000,459.950012,446.149994,447.799988,444.494415,150205
2018-01-29,450.000000,452.750000,442.000000,444.549988,441.268433,114536
2018-01-30,444.100006,448.000000,420.549988,423.700012,420.572388,188477
2018-01-31,418.000000,433.000000,397.649994,427.100006,423.947266,994538
2018-02-01,428.100006,452.200012,423.049988,448.200012,444.891510,802009
2018-02-02,443.799988,455.500000,431.000000,442.500000,439.233582,499731
2018-02-05,435.000000,443.049988,423.750000,441.700012,438.439514,450858
2018-02-06,419.000000,440.000000,417.399994,438.350006,435.114227,224233
2018-02-07,441.700012,449.200012,431.000000,433.750000,430.548157,156706
2018-02-08,433.100006,444.000000,433.100006,440.600006,437.347626,135759
2018-02-09,430.000000,445.000000,430.000000,439.799988,436.553497,117645
2018-02-12,440.149994,449.950012,438.000000,441.700012,438.439514,140394
2018-02-14,442.399994,443.750000,430.299988,432.149994,428.959991,108301
2018-02-15,432.100006,437.100006,428.000000,430.750000,427.570313,81921
2018-02-16,433.000000,435.000000,427.000000,431.149994,427.967346,52328
2018-02-19,432.000000,439.950012,426.700012,435.950012,432.731934,94080
2018-02-20,437.000000,443.000000,434.000000,436.049988,432.831177,111180
2018-02-21,437.500000,450.000000,436.500000,448.799988,445.487061,142705
2018-02-22,448.899994,455.049988,443.950012,451.049988,447.720459,141323
2018-02-23,454.750000,472.000000,450.000000,469.250000,465.786133,221254
2018-02-26,472.000000,473.000000,461.700012,468.149994,464.694244,105100
2018-02-27,472.000000,477.799988,461.000000,470.149994,466.679474,130275
2018-02-28,467.000000,467.850006,460.000000,460.950012,457.547394,102209
2018-03-01,462.000000,464.549988,450.000000,450.500000,447.174530,109186
2018-03-05,450.000000,455.700012,445.000000,452.799988,449.457520,116520
2018-03-06,456.750000,457.000000,445.649994,447.100006,443.799622,70076
2018-03-07,446.000000,447.500000,435.000000,436.500000,433.277863,90954
2018-03-08,441.000000,441.899994,427.299988,430.700012,427.520721,114030
2018-03-09,439.799988,439.799988,422.200012,425.350006,422.210175,71720
2018-03-12,429.049988,433.750000,425.649994,430.549988,427.371765,80571
2018-03-13,432.000000,444.500000,428.850006,442.100006,438.836517,85032
2018-03-14,440.500000,448.250000,440.500000,444.450012,441.169189,58461
2018-03-15,450.000000,450.000000,444.450012,447.850006,444.544098,45537
2018-03-16,449.399994,449.950012,436.299988,443.399994,440.126923,62094
2018-03-19,441.000000,443.000000,425.049988,426.100006,422.954651,99207
2018-03-20,430.000000,430.000000,419.799988,422.700012,419.579742,96119
2018-03-21,423.000000,437.950012,420.000000,422.149994,419.033783,109461
2018-03-22,426.899994,429.399994,423.899994,427.649994,424.493195,70884
2018-03-23,420.000000,433.100006,418.000000,429.299988,426.131012,88784
2018-03-26,430.000000,438.899994,424.000000,436.450012,433.228241,73202
2018-03-27,440.000000,450.049988,440.000000,449.149994,445.834473,96934
2018-03-28,447.799988,459.600006,444.100006,453.500000,450.152374,116639
2018-04-02,455.000000,485.000000,455.000000,480.700012,477.151611,261881
2018-04-03,480.000000,507.649994,480.000000,493.899994,490.254150,330446
2018-04-04,495.500000,503.899994,489.000000,496.000000,492.338654,154291
2018-04-05,499.000000,505.000000,488.200012,497.899994,494.224640,120943
2018-04-06,499.000000,504.049988,494.149994,496.299988,492.636414,84597
2018-04-09,497.000000,511.100006,489.350006,492.000000,488.368195,168721
2018-04-10,493.000000,506.000000,492.250000,503.649994,499.932159,145741
2018-04-11,502.649994,507.700012,495.000000,498.899994,495.217224,117266
2018-04-12,500.000000,501.500000,497.700012,499.500000,495.812805,60292
2018-04-13,500.000000,501.750000,497.450012,498.950012,495.266907,71571
2018-04-16,497.000000,500.000000,492.750000,494.700012,491.048248,38344
2018-04-17,496.100006,499.549988,486.049988,491.450012,487.822266,71684
2018-04-18,496.600006,500.000000,489.000000,492.100006,488.467438,95324
2018-04-19,501.000000,511.000000,497.000000,503.149994,499.435852,1458391
2018-04-20,504.500000,504.500000,493.100006,495.649994,491.991241,331747
2018-04-23,497.000000,497.049988,489.549988,493.149994,489.509674,57094
2018-04-24,494.000000,502.799988,489.850006,499.850006,496.160248,117444
2018-04-25,497.149994,514.299988,495.450012,510.850006,507.079041,262097
2018-04-26,513.500000,536.200012,513.450012,533.099976,529.164734,484757
2018-04-27,536.000000,546.500000,518.250000,520.599976,516.757019,258095
2018-04-30,519.900024,526.000000,514.950012,518.950012,515.119202,117373
2018-05-02,518.950012,525.000000,507.700012,509.049988,505.292297,148767
2018-05-03,509.000000,511.000000,493.799988,496.649994,492.983826,131456
2018-05-04,497.100006,504.500000,492.000000,500.299988,496.606903,80839
2018-05-07,503.000000,505.100006,497.899994,499.600006,495.912079,59895
2018-05-08,501.950012,513.000000,499.500000,509.799988,506.036774,113632
2018-05-09,510.000000,518.099976,510.000000,513.299988,509.510956,91534
2018-05-10,513.900024,521.000000,509.450012,516.849976,513.034729,101159
2018-05-11,517.000000,524.900024,516.500000,522.299988,518.444519,115090
2018-05-14,524.900024,547.250000,524.900024,540.299988,536.311646,230212
2018-05-15,525.000000,525.299988,496.299988,506.350006,502.612274,552544
