Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,301.200012,307.899994,301.200012,307.100006,299.062378,336913
2017-01-03,308.600006,313.750000,308.000000,313.049988,304.856659,675149
2017-01-04,314.649994,321.000000,313.500000,319.700012,311.332611,1583760
2017-01-05,320.950012,328.700012,320.299988,326.750000,318.198059,1993192
2017-01-06,327.950012,338.000000,326.649994,331.000000,322.336853,4655888
2017-01-09,331.000000,333.250000,326.100006,329.049988,320.437866,787856
2017-01-10,330.000000,336.500000,329.399994,335.549988,326.767761,1660190
2017-01-11,337.000000,338.700012,334.250000,337.799988,328.958862,1609150
2017-01-12,337.799988,338.250000,330.649994,334.549988,325.793915,537489
2017-01-13,334.600006,336.399994,330.950012,331.899994,323.213318,360639
2017-01-16,330.100006,334.000000,330.000000,331.149994,322.482910,495389
2017-01-17,332.000000,335.649994,330.100006,331.700012,323.018555,548693
2017-01-18,334.850006,343.000000,332.700012,340.000000,331.101318,3153477
2017-01-19,340.799988,351.500000,339.250000,349.750000,340.596130,5040128
2017-01-20,347.700012,362.000000,346.600006,359.399994,349.993530,5356347
2017-01-23,360.000000,362.350006,356.200012,361.149994,351.697723,2539069
2017-01-24,360.000000,363.500000,356.149994,359.750000,350.334412,2132140
2017-01-25,357.549988,359.350006,351.549988,353.850006,344.588806,1595576
2017-01-27,354.000000,356.350006,352.500000,353.899994,344.637482,1172267
2017-01-30,354.000000,355.950012,348.100006,351.299988,342.105499,812733
2017-01-31,349.000000,349.500000,338.000000,345.399994,336.359924,1209329
2017-02-01,342.500000,359.899994,342.500000,358.950012,349.555359,1719603
2017-02-02,358.799988,360.000000,355.500000,359.299988,349.896118,1097980
2017-02-03,359.299988,362.000000,356.700012,360.149994,350.723907,896563
2017-02-06,357.500000,368.750000,357.500000,367.450012,357.832855,1838252
2017-02-07,366.000000,367.200012,361.000000,363.600006,354.083649,608870
2017-02-08,363.000000,365.000000,356.250000,358.149994,348.776245,1761889
2017-02-09,357.549988,360.799988,352.100006,356.450012,347.120758,516261
2017-02-10,357.799988,362.149994,348.149994,350.200012,341.034363,1036168
2017-02-13,352.950012,355.000000,348.799988,351.399994,342.202911,339348
2017-02-14,351.399994,358.399994,351.399994,357.399994,348.045898,504941
2017-02-15,356.000000,357.000000,347.200012,349.149994,340.011810,242565
2017-02-16,348.549988,360.000000,348.549988,358.799988,349.409302,500182
2017-02-17,360.000000,365.299988,355.000000,362.899994,353.401947,1026944
2017-02-20,362.000000,362.799988,357.200012,358.450012,349.068420,221447
2017-02-21,358.000000,363.000000,355.549988,356.799988,347.461578,269628
2017-02-22,358.000000,358.100006,350.000000,351.799988,342.592468,301117
2017-02-23,353.899994,360.399994,351.850006,357.850006,348.484131,446372
2017-02-27,358.750000,364.000000,357.049988,362.500000,353.012421,1025217
2017-02-28,362.950012,365.000000,358.149994,361.350006,351.892578,534927
2017-03-01,360.299988,364.000000,358.950012,362.399994,352.915039,539631
2017-03-02,368.000000,371.600006,361.100006,363.200012,353.694061,2018671
2017-03-03,362.950012,365.100006,359.100006,362.600006,353.109802,512670
2017-03-06,363.600006,370.450012,361.250000,369.500000,359.829193,1628485
2017-03-07,371.000000,372.799988,360.549988,368.899994,359.244934,854942
2017-03-08,369.500000,375.000000,368.250000,374.000000,364.211395,1536173
2017-03-09,372.000000,378.000000,369.399994,372.649994,362.896698,1922978
2017-03-10,373.700012,374.899994,368.350006,370.450012,360.754364,1134047
2017-03-14,374.899994,375.899994,372.200012,374.750000,364.941803,2035563
2017-03-15,373.649994,378.899994,373.649994,376.750000,366.889496,1202120
2017-03-16,377.000000,378.899994,369.149994,370.200012,360.510864,766241
2017-03-17,371.500000,375.899994,365.149994,371.299988,361.582123,11314052
2017-03-20,372.799988,373.549988,367.200012,368.200012,358.563232,447618
2017-03-21,368.299988,374.549988,368.299988,371.100006,361.387299,3806709
2017-03-22,369.100006,369.450012,361.250000,364.100006,354.570526,614601
2017-03-23,365.000000,368.299988,364.450012,367.799988,358.173676,553928
2017-03-24,368.500000,374.899994,368.049988,374.049988,364.260101,672041
2017-03-27,373.799988,377.000000,372.600006,375.100006,365.282623,680026
2017-03-28,374.500000,376.500000,369.000000,371.600006,361.874207,333510
2017-03-29,371.500000,373.899994,368.799988,370.899994,361.192566,237378
2017-03-30,370.950012,375.450012,370.899994,374.350006,364.552216,1950487
2017-03-31,372.600006,386.950012,372.500000,382.399994,372.391602,1180554
2017-04-03,382.549988,386.350006,381.000000,385.350006,375.264374,338548
2017-04-05,386.899994,399.450012,386.049988,397.750000,387.339813,1333735
2017-04-06,398.299988,401.000000,391.100006,391.450012,381.204742,464507
2017-04-07,391.000000,402.850006,390.049988,400.000000,389.530945,837076
2017-04-10,400.000000,401.149994,393.000000,394.850006,384.515747,643998
2017-04-11,393.350006,398.750000,391.500000,393.299988,383.006317,395927
2017-04-12,392.000000,411.000000,383.149994,401.149994,390.650818,1234306
2017-04-13,401.149994,406.000000,396.200012,404.299988,393.718414,1193931
2017-04-17,404.149994,405.200012,400.000000,402.750000,392.208954,506568
2017-04-18,405.000000,407.000000,398.450012,402.600006,392.062927,494894
2017-04-19,403.000000,405.649994,398.500000,399.750000,389.287506,500685
2017-04-20,402.000000,404.000000,397.000000,399.250000,388.800568,219296
2017-04-21,402.899994,409.850006,401.100006,407.850006,397.175476,819153
2017-04-24,409.000000,409.799988,400.799988,402.700012,392.160278,540438
2017-04-25,403.899994,422.850006,403.100006,419.899994,408.910095,1607040
2017-04-26,422.049988,424.000000,395.000000,401.250000,390.748230,1771631
2017-04-27,402.000000,406.850006,397.000000,399.500000,389.044037,470937
2017-04-28,403.450012,407.799988,402.000000,406.000000,395.373901,472949
2017-05-02,408.000000,408.399994,398.500000,399.700012,389.238800,278792
2017-05-03,399.049988,404.750000,397.000000,398.700012,388.264954,455632
2017-05-04,399.100006,402.700012,391.750000,393.200012,382.908936,503425
2017-05-05,394.000000,395.700012,387.000000,391.950012,381.691650,391334
2017-05-08,395.899994,415.000000,394.950012,410.299988,399.561340,845382
2017-05-09,410.299988,415.500000,407.250000,410.000000,399.269226,271823
2017-05-10,411.250000,414.500000,409.149994,410.799988,400.048279,227293
2017-05-11,408.799988,418.000000,405.100006,410.649994,399.902191,475934
2017-05-12,412.600006,414.899994,406.250000,410.250000,399.512665,472820
2017-05-15,411.000000,419.899994,409.000000,416.799988,405.891266,417009
2017-05-16,415.950012,419.899994,412.000000,417.500000,406.572937,337174
2017-05-17,417.100006,420.750000,413.000000,415.700012,404.820038,251906
2017-05-18,411.000000,419.399994,410.000000,413.450012,402.628906,394445
2017-05-19,415.000000,417.799988,408.500000,410.100006,399.366608,388933
2017-05-22,412.000000,414.850006,404.100006,406.549988,395.909515,281945
2017-05-23,405.750000,411.299988,398.049988,410.000000,399.269226,437279
2017-05-24,409.950012,409.950012,398.250000,402.399994,391.868134,814120
2017-05-25,403.000000,407.200012,398.049988,399.750000,389.287506,1769399
2017-05-26,403.950012,407.549988,398.049988,400.200012,389.725708,629809
2017-05-29,400.549988,401.799988,393.250000,394.799988,384.467010,441748
2017-05-30,397.000000,403.000000,394.000000,401.600006,391.089020,1057727
2017-05-31,398.000000,409.000000,398.000000,406.850006,396.201660,727428
2017-06-01,403.000000,409.399994,402.100006,403.049988,392.501068,119366
2017-06-02,403.000000,413.899994,398.000000,410.649994,399.902191,797368
2017-06-05,409.500000,413.500000,405.200012,406.450012,395.812103,247310
2017-06-06,406.000000,408.899994,397.700012,400.950012,390.456085,213689
2017-06-07,404.500000,424.899994,404.500000,421.000000,409.981293,2430312
2017-06-08,422.500000,428.000000,418.049988,421.250000,410.224762,744147
2017-06-09,422.500000,436.000000,421.000000,434.600006,423.225372,983085
2017-06-12,434.600006,435.000000,420.750000,422.750000,411.685486,372156
2017-06-13,426.350006,432.399994,422.750000,428.899994,417.674530,480293
2017-06-14,428.049988,446.500000,426.250000,437.049988,425.611206,1010693
2017-06-15,438.000000,443.899994,438.000000,441.899994,430.334290,327885
2017-06-16,444.899994,449.200012,442.549988,444.049988,432.428009,409466
2017-06-19,443.000000,449.000000,442.399994,443.850006,432.233307,190031
2017-06-20,443.600006,444.950012,436.799988,439.899994,428.386658,299387
2017-06-21,438.549988,443.850006,437.000000,442.000000,430.431641,221685
2017-06-22,440.600006,449.899994,440.600006,445.100006,433.450562,547435
2017-06-23,445.000000,446.899994,437.700012,439.950012,428.435333,584947
2017-06-27,442.250000,446.899994,437.200012,440.000000,428.484039,716409
2017-06-28,438.250000,459.750000,435.850006,457.549988,445.574677,808440
2017-06-29,458.000000,475.799988,457.799988,473.649994,461.253326,2472285
2017-06-30,468.350006,484.799988,460.049988,471.600006,459.257019,1951474
2017-07-03,469.000000,474.899994,466.299988,472.299988,459.938629,584556
2017-07-04,476.049988,509.399994,475.000000,489.350006,476.542450,3140893
2017-07-05,490.950012,501.850006,490.950012,494.450012,481.508911,2395805
2017-07-06,496.399994,499.700012,485.600006,489.750000,476.931915,1144572
2017-07-07,488.700012,489.600006,479.000000,482.850006,473.597137,1035870
2017-07-10,485.000000,488.049988,482.600006,484.200012,474.921234,117903
2017-07-11,486.649994,498.700012,485.100006,489.350006,479.972565,984677
2017-07-12,490.000000,494.500000,481.000000,487.000000,477.667542,1021677
2017-07-13,487.399994,493.750000,483.200012,486.250000,476.931915,1211517
2017-07-14,485.700012,487.250000,482.000000,484.350006,475.068329,309227
2017-07-17,485.000000,485.899994,471.750000,473.200012,464.131989,809231
2017-07-18,474.000000,492.549988,472.450012,476.200012,467.074554,1645392
2017-07-19,478.850006,480.399994,471.100006,474.250000,465.161896,540758
2017-07-20,474.049988,475.799988,460.250000,461.500000,452.656189,1206408
2017-07-21,461.500000,472.799988,460.100006,464.399994,455.500641,1082299
2017-07-24,466.450012,474.000000,462.799988,468.600006,459.620148,809702
2017-07-25,472.250000,472.250000,464.049988,468.100006,459.129791,847405
2017-07-26,472.000000,474.799988,448.250000,450.350006,441.719910,3301351
2017-07-27,454.600006,457.799988,433.149994,439.049988,430.636414,2306141
2017-07-28,440.049988,452.850006,437.149994,448.000000,439.414886,1425701
2017-07-31,452.000000,459.899994,449.049988,458.950012,450.155090,880996
2017-08-01,458.950012,459.299988,441.600006,443.950012,435.442535,1109257
2017-08-02,449.000000,449.000000,440.000000,443.500000,435.001160,1083062
2017-08-03,442.200012,445.000000,439.299988,441.049988,432.598083,538981
2017-08-04,442.250000,447.500000,435.250000,438.899994,430.489288,1361548
2017-08-07,439.250000,442.299988,436.000000,437.399994,429.018036,474686
2017-08-08,437.600006,439.149994,426.299988,433.649994,425.339905,975484
2017-08-09,431.200012,432.000000,423.399994,425.750000,417.591278,596726
2017-08-10,425.299988,429.000000,411.250000,413.799988,405.870300,934151
2017-08-11,410.000000,430.000000,401.899994,427.350006,419.160614,1566785
2017-08-14,432.200012,442.750000,429.500000,433.049988,424.751373,944543
2017-08-16,437.000000,438.549988,430.399994,434.850006,426.516937,527448
2017-08-17,442.000000,443.000000,424.000000,425.250000,417.100891,909768
2017-08-18,422.799988,429.000000,420.149994,427.250000,419.062561,508891
2017-08-21,427.500000,439.000000,419.000000,420.149994,412.098602,1023989
2017-08-22,423.700012,424.850006,417.600006,418.950012,410.921631,514506
2017-08-23,421.049988,424.000000,419.549988,422.149994,414.060303,386270
2017-08-24,422.649994,426.500000,421.149994,422.899994,414.795929,379407
2017-08-28,423.000000,435.000000,423.000000,431.500000,423.231079,980309
2017-08-29,429.500000,430.000000,423.000000,424.299988,416.169098,524868
2017-08-30,425.450012,429.350006,425.450012,426.950012,418.768341,561200
2017-08-31,426.049988,432.549988,425.149994,426.899994,418.719238,628693
2017-09-01,429.899994,445.950012,427.399994,443.350006,434.854065,2103374
2017-09-04,445.500000,447.799988,434.450012,440.700012,432.254791,893650
2017-09-05,441.850006,447.000000,438.000000,446.200012,437.649475,1166748
2017-09-06,445.500000,446.000000,440.100006,441.200012,432.745239,1543588
2017-09-07,442.750000,451.250000,437.500000,439.350006,430.930695,990061
2017-09-08,441.000000,443.600006,435.049988,437.600006,429.214233,340738
2017-09-11,441.799988,443.000000,436.100006,437.149994,428.772827,338764
2017-09-12,438.100006,439.750000,430.100006,431.549988,423.280151,655806
2017-09-13,433.500000,438.000000,426.399994,427.299988,419.111603,637665
2017-09-14,428.000000,431.549988,420.200012,425.700012,417.542297,971893
2017-09-15,427.000000,434.350006,422.500000,423.649994,415.531555,2035414
2017-09-18,430.049988,431.000000,422.149994,423.700012,415.580597,1065342
2017-09-19,426.000000,426.799988,420.149994,424.100006,415.972931,915546
