Date,Open,High,Low,Close,Adj Close,Volume
2014-02-03,441.100006,445.799988,433.500000,442.424988,414.617310,1980024
2014-02-04,437.500000,438.000000,423.299988,426.875000,400.044647,3645936
2014-02-05,428.500000,440.500000,428.000000,439.174988,411.571533,1835988
2014-02-06,437.750000,449.850006,433.450012,448.475006,420.287079,2221996
2014-02-07,451.274994,451.500000,443.225006,447.774994,419.631042,1443216
2014-02-10,447.625000,451.250000,443.500000,447.100006,418.998474,1580562
2014-02-11,449.049988,451.149994,443.500000,448.524994,420.333862,1393540
2014-02-12,448.850006,450.424988,444.975006,447.750000,419.607574,876740
2014-02-13,447.500000,455.500000,447.500000,453.325012,424.832214,1609454
2014-02-14,453.500000,456.850006,443.325012,452.200012,423.777954,2537296
2014-02-17,452.475006,467.850006,448.649994,464.049988,434.883118,2243006
2014-02-18,467.500000,469.950012,462.250000,467.575012,438.186584,2043648
2014-02-19,468.000000,473.649994,467.975006,471.600006,441.958527,1783782
2014-02-20,468.075012,470.799988,463.549988,464.975006,435.749939,1651326
2014-02-21,465.149994,469.500000,461.424988,465.000000,435.773407,934626
2014-02-24,465.000000,473.000000,464.024994,472.049988,442.380280,782596
2014-02-25,472.950012,474.649994,467.774994,471.950012,442.286621,1910380
2014-02-26,471.500000,485.000000,468.225006,482.350006,452.032898,1708188
2014-02-28,482.500000,489.450012,474.500000,487.250000,456.624969,1907672
2014-03-03,486.350006,488.975006,475.000000,476.125000,446.199158,1068942
2014-03-04,475.049988,482.674988,472.299988,477.899994,447.862579,1150848
2014-03-05,478.750000,479.375000,470.100006,474.274994,444.465424,1219512
2014-03-06,475.149994,480.500000,474.274994,477.674988,447.651733,1917512
2014-03-07,480.000000,495.975006,475.774994,491.774994,460.865509,2003428
2014-03-10,489.649994,510.500000,487.500000,507.924988,476.000427,2469256
2014-03-11,506.000000,510.924988,492.049988,497.250000,465.996429,1534812
2014-03-12,494.700012,499.000000,491.649994,495.625000,464.473480,3267066
2014-03-13,500.950012,512.500000,497.174988,508.024994,476.094147,2430098
2014-03-14,506.450012,517.750000,498.000000,513.500000,481.225067,2474884
2014-03-18,514.224976,527.450012,502.524994,504.799988,473.071808,2542738
2014-03-19,505.500000,510.950012,489.000000,490.225006,459.412964,4050158
2014-03-20,491.450012,496.000000,486.125000,489.149994,458.405518,1507352
2014-03-21,492.500000,495.000000,482.750000,485.225006,454.727234,2147898
2014-03-22,null,null,null,null,null,null
2014-03-24,490.000000,497.500000,488.225006,493.899994,462.856934,2183452
2014-03-25,493.500000,497.500000,485.500000,486.700012,456.109497,1514294
2014-03-26,490.000000,491.649994,476.024994,479.475006,449.338593,2427292
2014-03-27,480.000000,487.500000,479.325012,482.424988,452.103149,4435008
2014-03-28,484.500000,486.500000,477.750000,484.125000,453.696289,3124794
2014-03-31,486.149994,492.500000,483.000000,490.350006,459.530060,3331040
2014-04-01,492.500000,501.674988,490.350006,500.075012,468.643860,2151116
2014-04-02,503.250000,504.500000,496.000000,501.000000,469.510712,2211080
2014-04-03,502.350006,505.500000,494.774994,503.600006,471.947327,1286358
2014-04-04,503.000000,503.000000,495.575012,499.500000,468.104950,1357998
2014-04-07,500.000000,509.174988,500.000000,507.049988,475.180420,1798996
2014-04-09,509.000000,512.500000,505.774994,511.575012,479.421021,1960936
2014-04-10,509.500000,513.799988,498.100006,510.575012,478.483887,1858602
2014-04-11,506.049988,509.500000,500.000000,502.750000,471.150726,1221984
2014-04-15,498.250000,502.850006,487.799988,492.350006,461.404388,1704660
2014-04-16,492.500000,496.649994,482.524994,488.274994,457.585510,2324426
2014-04-17,490.000000,500.000000,489.125000,498.475006,467.144409,1343906
2014-04-21,500.000000,519.950012,495.700012,516.575012,484.106781,3012408
2014-04-22,517.500000,523.000000,510.500000,513.200012,480.943848,1463862
2014-04-23,513.325012,521.000000,511.875000,519.575012,486.918243,2422384
2014-04-24,519.575012,519.575012,519.575012,519.575012,486.918243,0
2014-04-25,519.000000,540.450012,516.025024,535.349976,501.701691,2642998
2014-04-28,532.500000,537.000000,528.450012,533.500000,499.967987,1827654
2014-04-29,533.500000,541.500000,530.799988,534.000000,500.436554,1710806
2014-04-30,535.000000,545.974976,531.049988,537.099976,503.341766,2710352
2014-05-02,529.500000,530.825012,522.549988,528.924988,495.680573,1596842
2014-05-05,525.000000,536.224976,525.000000,529.799988,496.500580,1234584
2014-05-06,531.250000,534.500000,528.150024,532.750000,499.265106,656016
2014-05-07,533.000000,536.500000,530.000000,530.974976,497.601715,822242
2014-05-08,532.500000,536.825012,528.549988,532.075012,498.632599,979170
2014-05-09,535.000000,555.000000,530.525024,551.275024,516.625916,1716590
2014-05-12,550.500000,569.875000,550.000000,564.875000,529.371033,1622008
2014-05-13,570.500000,588.650024,553.099976,561.450012,526.161255,1580544
2014-05-14,552.500000,555.825012,536.875000,542.724976,508.613190,20408324
2014-05-15,540.000000,556.700012,539.750000,552.275024,517.562988,2112808
2014-05-16,560.000000,591.950012,551.200012,557.349976,522.318970,3352052
2014-05-19,569.950012,569.950012,538.400024,549.799988,515.243591,2191014
2014-05-20,550.500000,576.125000,538.150024,568.224976,532.510376,2059554
2014-05-21,563.500000,581.650024,561.049988,575.150024,539.000122,1792354
2014-05-22,577.349976,586.000000,562.775024,568.799988,533.049316,1662910
2014-05-23,566.500000,582.950012,566.500000,579.650024,543.217407,1993708
2014-05-26,586.950012,626.875000,585.000000,614.575012,575.947205,4540298
2014-05-27,620.075012,620.075012,586.875000,599.000000,561.351074,1625424
2014-05-28,600.000000,603.500000,578.049988,580.799988,544.295044,2355502
2014-05-29,582.500000,592.000000,582.174988,588.474976,551.487610,2397058
2014-05-30,594.500000,639.349976,575.000000,617.750000,578.922668,8431084
2014-06-02,617.500000,634.750000,599.000000,619.625000,580.679810,2156308
2014-06-03,620.250000,621.000000,609.250000,615.375000,576.696960,2081200
2014-06-04,615.549988,624.000000,601.500000,609.924988,571.589478,1699872
2014-06-05,607.500000,608.700012,596.125000,601.349976,563.553284,2174850
2014-06-06,603.500000,619.900024,597.625000,616.400024,577.657532,2537836
2014-06-09,620.000000,620.000000,603.125000,612.000000,573.534058,1975974
2014-06-10,614.500000,619.950012,602.250000,616.575012,577.821411,1705904
2014-06-11,615.000000,619.500000,606.000000,613.549988,574.986633,1477054
2014-06-12,608.700012,616.200012,602.650024,614.500000,575.876892,1023538
2014-06-13,616.000000,627.500000,605.674988,614.424988,575.806580,2271998
2014-06-16,611.650024,614.349976,595.000000,599.000000,561.351074,1937424
2014-06-17,597.349976,597.349976,584.099976,590.474976,553.361938,2469364
2014-06-18,594.500000,595.924988,575.500000,580.150024,543.685913,1851454
2014-06-19,583.000000,592.474976,579.575012,588.049988,551.089355,1036362
2014-06-20,588.075012,588.875000,569.000000,571.974976,536.024658,1483562
2014-06-23,574.750000,584.450012,572.000000,580.599976,544.107544,1845248
2014-06-24,580.250000,591.500000,580.000000,583.525024,546.848816,1069250
2014-06-25,583.250000,597.825012,579.000000,589.724976,552.659058,1138482
2014-06-26,597.500000,597.500000,583.825012,587.950012,550.995728,2526204
2014-06-27,588.000000,588.099976,574.974976,576.750000,540.499573,2033818
2014-06-30,575.799988,581.500000,571.974976,573.599976,537.547546,2625272
2014-07-01,575.000000,598.950012,575.000000,597.150024,559.617310,1944486
2014-07-02,599.000000,614.174988,592.049988,609.875000,571.542603,2012020
2014-07-03,609.825012,623.500000,609.500000,617.775024,578.946045,1783056
2014-07-04,617.500000,617.500000,604.750000,615.025024,576.368958,1067960
2014-07-07,619.950012,623.400024,612.500000,619.775024,580.820313,1388010
2014-07-08,625.500000,626.075012,603.500000,607.250000,569.082642,1443260
2014-07-09,607.500000,607.500000,576.000000,589.275024,552.237366,2461348
2014-07-10,585.549988,600.750000,576.000000,582.775024,546.145996,2633406
2014-07-11,582.200012,586.500000,564.724976,582.174988,545.583618,2129542
2014-07-14,581.575012,589.424988,578.150024,583.474976,546.801819,1823582
2014-07-15,586.500000,602.349976,586.500000,600.150024,562.428772,1600810
2014-07-16,602.000000,612.799988,599.000000,611.025024,572.620361,2541006
2014-07-17,591.500000,597.950012,583.299988,591.724976,554.760315,5309172
2014-07-18,589.400024,596.900024,586.000000,591.825012,554.854065,2962372
2014-07-21,594.000000,598.450012,591.500000,594.325012,557.197937,1454796
2014-07-22,594.325012,597.000000,586.000000,589.750000,552.908752,1169902
2014-07-23,592.500000,600.825012,589.099976,597.375000,560.057373,2492700
2014-07-24,597.150024,603.799988,593.650024,601.099976,563.549622,1916146
2014-07-25,601.000000,611.000000,601.000000,605.299988,567.487305,1636728
2014-07-28,606.000000,612.500000,595.625000,602.924988,565.260620,1336960
2014-07-30,604.349976,612.500000,601.599976,610.849976,572.690613,3184402
2014-07-31,611.000000,611.450012,594.250000,600.825012,563.291931,6176218
2014-08-01,592.650024,595.900024,581.000000,587.075012,550.400879,2752838
2014-08-04,583.500000,599.000000,583.500000,592.750000,555.721252,3269214
2014-08-05,593.474976,616.075012,593.474976,615.049988,576.628174,3053002
2014-08-06,619.849976,624.825012,615.000000,620.575012,581.808044,2703720
2014-08-07,619.950012,629.500000,612.875000,624.700012,585.675354,1180246
2014-08-08,615.000000,623.200012,600.875000,614.674988,576.276611,2483456
2014-08-11,620.000000,661.900024,618.599976,654.299988,613.426392,4557070
2014-08-12,657.500000,660.575012,645.650024,655.049988,614.129517,2807746
2014-08-13,649.125000,662.500000,648.950012,658.125000,617.012329,2570182
2014-08-14,658.125000,667.500000,655.825012,660.924988,619.637451,1765326
2014-08-18,659.000000,665.750000,655.025024,663.025024,621.606262,3994764
2014-08-19,662.974976,690.000000,658.750000,687.049988,644.130432,2722190
