Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,4340.000000,4361.500000,4311.049805,4344.549805,4209.127930,1041
2014-01-02,4360.700195,4410.100098,4349.950195,4374.149902,4237.805664,14506
2014-01-03,4375.000000,4420.000000,4352.399902,4405.200195,4267.887207,5005
2014-01-06,4400.000000,4483.950195,4370.049805,4459.850098,4320.834961,97536
2014-01-07,4426.700195,4465.000000,4356.000000,4394.850098,4257.860840,4855
2014-01-08,4395.000000,4526.799805,4394.950195,4509.950195,4369.372070,122019
2014-01-09,4478.450195,4500.000000,4440.950195,4484.450195,4344.668945,52909
2014-01-10,4450.000000,4525.000000,4420.000000,4489.600098,4349.657227,56362
2014-01-13,4489.600098,4499.899902,4415.000000,4455.450195,4316.571289,4828
2014-01-14,4489.049805,4550.000000,4439.500000,4525.549805,4384.485352,14655
2014-01-15,4531.049805,4549.799805,4489.950195,4527.299805,4386.180664,1557
2014-01-16,4514.649902,4550.100098,4482.500000,4493.799805,4353.725586,9526
2014-01-17,4545.000000,4545.000000,4475.049805,4490.149902,4350.190430,1636
2014-01-20,4489.899902,4500.000000,4381.350098,4419.049805,4281.305664,16403
2014-01-21,4438.950195,4500.000000,4401.450195,4493.000000,4352.951172,14782
2014-01-22,4436.250000,4480.000000,4410.000000,4441.299805,4302.863281,5567
2014-01-23,4445.000000,4479.899902,4430.000000,4444.950195,4306.398438,1787
2014-01-24,4385.750000,4486.000000,4380.000000,4389.899902,4253.063965,5732
2014-01-27,4351.000000,4379.700195,4100.100098,4310.500000,4176.140137,26330
2014-01-28,4252.000000,4399.000000,4125.250000,4313.250000,4178.804199,9204
2014-01-29,4266.000000,4442.899902,4254.100098,4402.500000,4265.271973,11951
2014-01-30,4261.049805,4489.450195,4261.000000,4369.899902,4233.687988,12017
2014-01-31,4320.049805,4469.899902,4261.000000,4436.700195,4308.265625,13606
2014-02-03,4380.000000,4460.000000,4322.000000,4391.950195,4264.810059,4741
2014-02-04,4355.100098,4445.000000,4307.649902,4322.350098,4197.225586,1148
2014-02-05,4369.649902,4390.000000,4309.950195,4338.299805,4212.713867,17263
2014-02-06,4399.950195,4405.000000,4300.000000,4369.549805,4243.059082,14534
2014-02-07,4402.600098,4435.000000,4305.000000,4344.649902,4218.879883,6291
2014-02-10,4349.100098,4360.399902,4286.200195,4305.649902,4181.007813,1301
2014-02-11,4365.000000,4365.000000,4210.799805,4261.250000,4137.894531,2340
2014-02-12,4266.000000,4349.950195,4250.049805,4306.549805,4181.882324,1293
2014-02-13,4395.000000,4395.000000,4282.500000,4299.850098,4175.376465,3216
2014-02-14,4267.000000,4305.000000,4225.000000,4262.399902,4139.011719,11561
2014-02-17,4251.799805,4305.000000,4227.600098,4281.750000,4157.801270,34857
2014-02-18,4281.750000,4290.049805,4259.000000,4282.649902,4158.674316,46742
2014-02-19,4290.000000,4401.000000,4272.600098,4377.799805,4251.070313,4308
2014-02-20,4336.000000,4395.000000,4312.500000,4373.450195,4246.846191,10170
2014-02-21,4400.000000,4573.000000,4352.450195,4548.350098,4416.682129,23005
2014-02-24,4572.299805,4825.000000,4551.000000,4786.750000,4648.182129,11646
2014-02-25,4798.950195,4838.899902,4652.000000,4719.500000,4582.878418,6893
2014-02-26,4744.950195,4763.149902,4621.000000,4695.850098,4559.912598,3418
2014-02-28,4694.950195,4765.049805,4623.000000,4688.500000,4552.776367,22560
2014-03-03,4688.549805,4749.000000,4631.149902,4720.899902,4584.238281,1460
2014-03-04,4674.000000,4825.000000,4673.450195,4772.250000,4634.101563,58472
2014-03-05,4874.049805,4874.399902,4780.000000,4820.600098,4681.051270,41006
2014-03-06,4838.200195,5080.000000,4824.950195,4999.049805,4854.335449,71328
2014-03-07,5089.000000,5140.100098,5011.000000,5118.950195,4970.766113,30702
2014-03-10,5174.000000,5209.899902,5120.000000,5168.450195,5018.832520,10758
2014-03-11,5215.000000,5249.000000,5130.000000,5231.799805,5080.348633,15336
2014-03-12,5209.950195,5270.000000,5130.000000,5247.200195,5095.302246,4828
2014-03-13,5229.000000,5262.049805,5001.000000,5093.149902,4945.711426,18204
2014-03-14,5100.000000,5150.000000,5091.000000,5103.250000,4955.519531,1134
2014-03-18,5164.000000,5209.000000,5140.000000,5194.000000,5043.642578,8150
2014-03-19,5190.000000,5215.000000,5129.950195,5199.799805,5049.274902,32595
2014-03-20,5213.149902,5244.399902,5195.000000,5200.399902,5049.856934,11975
2014-03-21,5231.299805,5250.000000,5025.000000,5084.100098,4936.923828,7149
2014-03-22,null,null,null,null,null,null
2014-03-24,5141.100098,5310.000000,5140.000000,5298.950195,5145.553223,60837
2014-03-25,5298.700195,5309.899902,5270.250000,5276.450195,5123.704590,25960
2014-03-26,5324.950195,5365.000000,5301.000000,5351.250000,5196.339355,5279
2014-03-27,5365.000000,5525.000000,5290.000000,5503.450195,5344.134766,27225
2014-03-28,5406.299805,5699.700195,5406.299805,5634.750000,5471.631836,6626
2014-03-31,5650.049805,5754.000000,5540.049805,5670.950195,5506.786133,8353
2014-04-01,5670.000000,5757.000000,5525.000000,5694.450195,5529.606445,17727
2014-04-02,5700.049805,5751.000000,5450.000000,5747.200195,5580.828613,3894
2014-04-03,5749.950195,5915.049805,5670.000000,5796.100098,5628.313477,15965
2014-04-04,5701.000000,5792.750000,5631.000000,5661.000000,5497.123535,7829
2014-04-07,5632.000000,5730.000000,5585.500000,5615.350098,5452.795898,3823
2014-04-09,5586.000000,5686.000000,5580.049805,5598.450195,5436.384766,3133
2014-04-10,5522.049805,5670.000000,5482.000000,5613.000000,5450.513184,17427
2014-04-11,5605.350098,5889.700195,5600.000000,5849.350098,5680.020996,49046
2014-04-15,5840.000000,5998.950195,5750.000000,5831.600098,5662.785645,4484
2014-04-16,5776.049805,5999.399902,5776.049805,5857.750000,5688.177734,5828
2014-04-17,5800.000000,5839.899902,5690.549805,5768.450195,5601.462891,8587
2014-04-21,5800.000000,5871.899902,5702.000000,5738.450195,5572.331543,3014
2014-04-22,5760.049805,5880.000000,5705.100098,5847.549805,5678.272949,2625
2014-04-23,5775.850098,5998.950195,5775.850098,5906.399902,5735.420410,22312
2014-04-24,5906.399902,5906.399902,5906.399902,5906.399902,5735.420410,0
2014-04-25,5990.000000,5990.000000,5777.850098,5812.649902,5644.383301,3750
2014-04-28,5820.000000,5890.000000,5655.100098,5732.799805,5566.844727,20612
2014-04-29,5677.600098,5785.000000,5675.500000,5701.049805,5536.014648,15881
2014-04-30,5701.000000,5739.950195,5690.000000,5701.450195,5536.403320,28305
2014-05-02,5715.000000,5730.000000,5660.049805,5700.399902,5535.382813,6139
2014-05-05,5661.000000,5735.100098,5661.000000,5700.049805,5535.043457,18503
2014-05-06,5703.200195,5809.950195,5698.000000,5727.350098,5561.553223,3605
2014-05-07,5727.350098,5800.000000,5720.049805,5786.399902,5618.893555,3064
2014-05-08,5794.950195,5799.000000,5698.799805,5715.950195,5550.483398,7894
2014-05-09,5695.000000,5801.799805,5695.000000,5766.049805,5599.131836,22913
2014-05-12,5849.950195,6035.000000,5810.500000,5997.450195,5823.833496,13623
2014-05-13,6000.000000,6119.950195,5900.000000,6088.350098,5912.102539,9916
2014-05-14,6098.950195,6099.500000,5866.600098,6032.200195,5857.579102,6605
2014-05-15,6000.100098,6080.000000,5927.700195,6066.149902,5890.545898,4006
2014-05-16,5921.000000,6366.000000,5820.000000,6169.549805,5990.951172,26144
2014-05-19,6170.000000,6350.250000,6170.000000,6254.549805,6073.492188,33165
2014-05-20,6250.000000,6300.000000,6149.399902,6252.850098,6071.840332,16009
2014-05-21,6259.250000,6379.950195,6234.049805,6282.100098,6100.244629,14860
2014-05-22,6374.000000,6470.000000,6200.000000,6378.399902,6193.756348,5567
2014-05-23,6450.000000,6569.899902,6405.100098,6529.700195,6340.676758,8766
2014-05-26,6629.000000,7148.549805,6451.299805,6841.500000,6643.449219,60093
2014-05-27,6848.450195,7040.000000,6765.000000,6853.600098,6655.200195,74108
2014-05-28,6910.000000,7124.000000,6784.450195,6987.000000,6784.737305,50439
2014-05-29,6920.000000,6987.850098,6820.000000,6856.100098,6657.627441,4836
2014-05-30,6875.000000,6890.000000,6790.000000,6851.049805,6652.723633,3280
2014-06-02,6851.000000,6995.000000,6805.500000,6861.850098,6663.210938,1984
2014-06-03,6929.049805,7000.000000,6821.000000,6977.950195,6775.950684,3852
2014-06-04,6999.649902,7270.000000,6985.000000,7199.649902,6991.231934,43099
2014-06-05,7200.000000,7999.700195,7200.000000,7425.149902,7210.204102,53501
2014-06-06,7550.000000,7680.299805,7385.000000,7611.549805,7391.208496,23081
2014-06-09,7640.000000,7990.000000,7640.000000,7745.750000,7521.523926,89554
2014-06-10,7810.000000,7810.000000,6880.000000,7399.000000,7184.812012,34153
2014-06-11,7480.000000,7610.000000,7215.000000,7300.049805,7088.726074,56193
2014-06-12,7350.000000,7399.000000,7202.000000,7280.450195,7069.693359,49971
2014-06-13,7300.000000,7370.000000,6910.049805,7218.299805,7009.342285,26605
